ticker,from,to
GAS,2011-12-12,2016-06-30
ESRX,2003-09-25,9999-12-30
DTV,0001-01-01,2015-07-28
CVS,0001-01-01,9999-12-30
GRA,0001-01-01,2000-12-04
LSI,0001-01-01,2014-05-07
ILMN,2015-11-19,9999-12-30
CMCSK,2015-09-18,2015-12-14
NTRS,0001-01-01,9999-12-30
ALTR,0001-01-01,2015-12-28
NBR,0001-01-01,2015-03-22
AVP,0001-01-01,2015-03-22
DLTR,2011-12-16,9999-12-30
TER,0001-01-01,2013-12-22
FSLR,0001-01-01,2017-03-19
NFLX,2010-12-17,9999-12-30
CPB,0001-01-01,9999-12-30
AYE,2000-12-05,2011-02-24
PAYX,0001-01-01,9999-12-30
LB,1983-09-30,9999-12-30
CCE,0001-01-01,2016-05-30
DTE,0001-01-01,9999-12-30
BWA,2011-12-16,9999-12-30
NLSN,2013-07-08,9999-12-30
FAST,2009-09-15,9999-12-30
MTD,2016-09-06,9999-12-30
HNZ,0001-01-01,2013-06-05
ADP,1981-03-31,9999-12-30
FBHS,2016-06-22,9999-12-30
LYB,2012-09-05,9999-12-30
PCAR,1980-12-31,9999-12-30
WYNN,2008-11-14,9999-12-30
PXD,2008-09-24,9999-12-30
BBT,0001-01-01,9999-12-30
ETN,0001-01-01,9999-12-30
INTC,1976-12-31,9999-12-30
ROK,0001-01-01,9999-12-30
HBI,2015-03-20,9999-12-30
PRU,2002-07-22,9999-12-30
DLR,2016-05-18,9999-12-30
PEG,0001-01-01,9999-12-30
NOVL,0001-01-01,2011-04-26
QTRN,0001-01-01,2003-09-24
ABK,2000-12-05,2008-06-09
ANDV,2007-09-27,9999-12-30
SHLD,0001-01-01,2012-09-04
HON,1964-03-31,9999-12-30
UPS,2002-07-22,9999-12-30
CXO,2016-02-22,9999-12-30
ETR,0001-01-01,9999-12-30
DVN,2000-08-30,9999-12-30
CPGX,2015-07-02,2016-07-04
ANTM,0001-01-01,9999-12-30
ABT,1964-03-31,9999-12-30
STX,2012-07-02,9999-12-30
FHN,0001-01-01,2013-06-20
DISCA,2010-03-01,9999-12-30
RCL,2014-12-05,9999-12-30
COTY,2016-09-30,9999-12-30
RRD,0001-01-01,2012-12-10
CVH,0001-01-01,2013-05-07
MWW,0001-01-01,2011-12-15
COH,0001-01-01,9999-12-30
CTL,0001-01-01,9999-12-30
RL,2007-02-02,9999-12-30
FISV,2001-04-02,9999-12-30
PCS,0001-01-01,2013-04-29
HSIC,2015-03-17,9999-12-30
PLL,0001-01-01,2015-08-27
NOV,2005-03-14,9999-12-30
MO,0001-01-01,9999-12-30
VAR,2007-02-12,9999-12-30
GOOG,2014-04-03,9999-12-30
ULTA,2016-04-18,9999-12-30
VFC,1979-06-30,9999-12-30
WMB,1975-03-31,9999-12-30
COG,2008-06-23,9999-12-30
LNT,2016-07-01,9999-12-30
WYN,0001-01-01,9999-12-30
R,0001-01-01,2017-06-18
HBAN,0001-01-01,9999-12-30
MET,0001-01-01,9999-12-30
TSS,2008-01-02,9999-12-30
PGN,0001-01-01,2012-07-01
CBS,1994-09-01,9999-12-30
CSCO,1993-12-01,9999-12-30
LOW,1984-02-29,9999-12-30
TGNA,0001-01-01,2017-06-01
KR,0001-01-01,9999-12-30
HCN,2009-01-30,9999-12-30
SAIC,0001-01-01,2013-09-19
HS,0001-01-01,2012-06-28
NRG,2010-01-29,9999-12-30
NBL,2007-10-08,9999-12-30
CBOE,2017-03-01,9999-12-30
SYY,1986-12-31,9999-12-30
STZ,2005-07-01,9999-12-30
PCL,0001-01-01,2016-02-21
CL,0001-01-01,9999-12-30
RF,1998-08-28,9999-12-30
POM,0001-01-01,2016-03-29
MIL,0001-01-01,2010-07-13
GIS,1969-03-31,9999-12-30
AMT,2007-11-19,9999-12-30
DOW,0001-01-01,9999-12-30
CCK,0001-01-01,2000-12-04
APH,2008-09-30,9999-12-30
AIG,1980-03-31,9999-12-30
CTAS,2001-03-01,9999-12-30
LLTC,0001-01-01,2017-03-12
V,2009-12-21,9999-12-30
TXN,0001-01-01,9999-12-30
WFC,1976-06-30,9999-12-30
K,0001-01-01,9999-12-30
EMC,0001-01-01,2016-09-07
ADSK,1989-12-01,9999-12-30
F,0001-01-01,9999-12-30
ES,0001-01-01,9999-12-30
XLNX,1999-11-08,9999-12-30
APC,0001-01-01,9999-12-30
M,0001-01-01,9999-12-30
ISRG,2008-06-02,9999-12-30
RHT,2009-07-27,9999-12-30
PVH,2013-02-15,9999-12-30
CHTR,2016-09-08,9999-12-30
FTI,2009-06-05,9999-12-30
AMZN,2005-11-18,9999-12-30
RE,2017-06-19,9999-12-30
HAL,0001-01-01,9999-12-30
INTU,2000-12-05,9999-12-30
HPE,2015-11-02,9999-12-30
COF,0001-01-01,9999-12-30
AIZ,2007-04-10,9999-12-30
LMT,1984-07-31,9999-12-30
LH,2004-11-01,9999-12-30
TDC,0001-01-01,2017-06-18
TSCO,2014-01-24,9999-12-30
SVU,0001-01-01,2012-04-22
MJN,0001-01-01,2017-06-18
EW,2011-03-31,9999-12-30
AXP,1976-06-30,9999-12-30
NWSA,2013-08-01,9999-12-30
AMAT,0001-01-01,9999-12-30
SCG,2009-01-02,9999-12-30
HD,1988-03-31,9999-12-30
DHI,0001-01-01,9999-12-30
UTX,0001-01-01,9999-12-30
PEP,0001-01-01,9999-12-30
HRS,2008-09-22,9999-12-30
KSU,2013-05-23,9999-12-30
XYL,2011-10-31,9999-12-30
AVY,1987-12-31,9999-12-30
BIIB,0001-01-01,9999-12-30
FDX,1980-12-31,9999-12-30
SWK,1982-09-30,9999-12-30
TJX,1985-09-30,9999-12-30
MU,1994-09-27,9999-12-30
AON,0001-01-01,9999-12-30
